player_name,role,season,Assist,Bonus Point,Raid Successful,Raid Unsuccessful,Super Raid,Super Tackle,Tackle Successful,Tackle Unsuccessful,raid_success_rate,tackle_success_rate,Team,contribution_ratio,do_or_die_points,team_name,player_id,match_played,position_id,position_name,high_5s,avg_raid_points,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,total_points,z_score_do_or_die_points,z_score_high_5s,z_score_avg_raid_points,z_score_raid_points,z_score_successful_raids,z_score_successful_tackles,z_score_super_10s,z_score_super_raids,z_score_super_tackles,z_score_tackle_points,z_score_total_points,dim1,dim2
aashish nagar,Raider,1,0,2,11,4,5,0,0,0,0.6875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.409132,-7.5827546
aashish nagar,Raider,2,0,4,8,5,2,0,0,0,0.5714285714285714,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.470897,-2.7859197
aashish nagar,Raider,3,0,1,12,8,1,0,0,0,0.5714285714285714,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8478565,-1.759223
aashish nagar,Raider,4,0,4,8,12,2,0,0,0,0.38095238095238093,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.486542,-3.8206697
aashish nagar,Raider,5,0,3,14,5,1,0,0,0,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.74176,-1.8623244
aashish nagar,Raider,6,0,4,9,1,2,0,0,0,0.8181818181818182,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.548794,-2.318184
aashish nagar,Raider,7,0,4,17,8,3,0,0,0,0.6538461538461539,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.27054,-5.302001
abhishek singh,Raider,1,0,1,11,6,3,0,0,0,0.6111111111111112,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.984179,-6.1319323
abhishek singh,Raider,2,0,2,17,6,4,0,0,0,0.7083333333333334,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.87904,-6.8540864
abhishek singh,Raider,3,0,1,16,5,5,0,0,0,0.7272727272727273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.985853,-7.8353667
abhishek singh,Raider,4,0,3,12,3,5,0,0,0,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.334738,-7.557725
abhishek singh,Raider,5,0,1,20,6,5,0,0,0,0.7407407407407407,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.022745,-7.799466
abhishek singh,Raider,6,0,2,12,7,1,0,0,0,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.327856,-1.7322071
abhishek singh,Raider,7,0,1,12,5,2,0,0,0,0.6666666666666666,0.0,U Mumba,0.1673913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.468974,0.19904886
abolfazl maghsodloumahali,All-Rounder,1,8,6,5,0,0,0,6,0,0.8333333333333334,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.286575,4.6992354
abolfazl maghsodloumahali,All-Rounder,2,5,4,9,0,0,0,4,0,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.157627,3.940188
abolfazl maghsodloumahali,All-Rounder,3,9,7,8,0,0,0,7,0,0.8888888888888888,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.5707226,5.067243
abolfazl maghsodloumahali,All-Rounder,4,3,4,13,0,0,0,6,0,0.9285714285714286,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2741976,3.9858809
abolfazl maghsodloumahali,All-Rounder,5,6,9,9,0,0,0,5,0,0.9,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.440319,6.540568
