player_name,role,season,Assist,Bonus Point,Raid Successful,Raid Unsuccessful,Super Raid,Super Tackle,Tackle Successful,Tackle Unsuccessful,raid_success_rate,tackle_success_rate
aashish nagar,Raider,1,0,2,11,4,5,0,0,0,0.6875,0.0
aashish nagar,Raider,2,0,4,8,5,2,0,0,0,0.5714285714285714,0.0
aashish nagar,Raider,3,0,1,12,8,1,0,0,0,0.5714285714285714,0.0
aashish nagar,Raider,4,0,4,8,12,2,0,0,0,0.38095238095238093,0.0
aashish nagar,Raider,5,0,3,14,5,1,0,0,0,0.7,0.0
aashish nagar,Raider,6,0,4,9,1,2,0,0,0,0.8181818181818182,0.0
aashish nagar,Raider,7,0,4,17,8,3,0,0,0,0.6538461538461539,0.0
abhishek singh,Raider,1,0,1,11,6,3,0,0,0,0.6111111111111112,0.0
abhishek singh,Raider,2,0,2,17,6,4,0,0,0,0.7083333333333334,0.0
abhishek singh,Raider,3,0,1,16,5,5,0,0,0,0.7272727272727273,0.0
abhishek singh,Raider,4,0,3,12,3,5,0,0,0,0.75,0.0
abhishek singh,Raider,5,0,1,20,6,5,0,0,0,0.7407407407407407,0.0
abhishek singh,Raider,6,0,2,12,7,1,0,0,0,0.6,0.0
abhishek singh,Raider,7,0,1,12,5,2,0,0,0,0.6666666666666666,0.0
abolfazl maghsodloumahali,All-Rounder,1,8,6,5,0,0,0,6,0,0.8333333333333334,0.8571428571428571
abolfazl maghsodloumahali,All-Rounder,2,5,4,9,0,0,0,4,0,0.9,0.8
abolfazl maghsodloumahali,All-Rounder,3,9,7,8,0,0,0,7,0,0.8888888888888888,0.875
abolfazl maghsodloumahali,All-Rounder,4,3,4,13,0,0,0,6,0,0.9285714285714286,0.8571428571428571
abolfazl maghsodloumahali,All-Rounder,5,6,9,9,0,0,0,5,0,0.9,0.8333333333333334
abolfazl maghsodloumahali,All-Rounder,6,6,8,4,0,0,0,13,0,0.8,0.9285714285714286
abolfazl maghsodloumahali,All-Rounder,7,5,10,5,0,0,0,8,0,0.8333333333333334,0.8888888888888888
abozar mohajermighani,All-Rounder,1,8,7,4,0,0,0,8,0,0.8,0.8888888888888888
abozar mohajermighani,All-Rounder,2,8,1,11,0,0,0,4,0,0.9166666666666666,0.8
abozar mohajermighani,All-Rounder,3,5,6,8,0,0,0,9,0,0.8888888888888888,0.9
abozar mohajermighani,All-Rounder,4,2,4,7,0,0,0,7,0,0.875,0.875
abozar mohajermighani,All-Rounder,5,7,3,8,0,0,0,7,0,0.8888888888888888,0.875
abozar mohajermighani,All-Rounder,6,6,4,10,0,0,0,4,0,0.9090909090909091,0.8
abozar mohajermighani,All-Rounder,7,2,3,4,0,0,0,10,0,0.8,0.9090909090909091
adarsh t,Defender,1,0,0,0,0,0,5,17,2,0.0,0.85
adarsh t,Defender,2,0,0,0,0,0,0,5,11,0.0,0.29411764705882354
adarsh t,Defender,3,0,0,0,0,0,9,13,7,0.0,0.6190476190476191
adarsh t,Defender,4,0,0,0,0,0,6,13,6,0.0,0.65
adarsh t,Defender,5,0,0,0,0,0,1,19,13,0.0,0.5757575757575758
adarsh t,Defender,6,0,0,0,0,0,12,11,6,0.0,0.6111111111111112
adarsh t,Defender,7,0,0,0,0,0,10,9,3,0.0,0.6923076923076923
adinath sakharam gavali,Raider,1,0,2,13,7,3,0,0,0,0.6190476190476191,0.0
adinath sakharam gavali,Raider,2,0,6,10,9,2,0,0,0,0.5,0.0
adinath sakharam gavali,Raider,3,0,1,10,9,2,0,0,0,0.5,0.0
adinath sakharam gavali,Raider,4,0,4,10,10,2,0,0,0,0.47619047619047616,0.0
adinath sakharam gavali,Raider,5,0,4,10,8,2,0,0,0,0.5263157894736842,0.0
adinath sakharam gavali,Raider,6,0,2,15,4,1,0,0,0,0.75,0.0
adinath sakharam gavali,Raider,7,0,3,10,7,4,0,0,0,0.5555555555555556,0.0
ajay,All-Rounder,1,4,11,7,0,0,0,7,0,0.875,0.875
ajay,All-Rounder,2,4,8,13,0,0,0,3,0,0.9285714285714286,0.75
ajay,All-Rounder,3,8,4,5,0,0,0,4,0,0.8333333333333334,0.8
ajay,All-Rounder,4,3,2,4,0,0,0,10,0,0.8,0.9090909090909091
ajay,All-Rounder,5,4,6,8,0,0,0,16,0,0.8888888888888888,0.9411764705882353
ajay,All-Rounder,6,4,5,7,0,0,0,8,0,0.875,0.8888888888888888
ajay,All-Rounder,7,6,3,5,0,0,0,6,0,0.8333333333333334,0.8571428571428571
ajay kumar,All-Rounder,1,4,5,8,0,0,0,6,0,0.8888888888888888,0.8571428571428571
ajay kumar,All-Rounder,2,7,1,3,0,0,0,10,0,0.75,0.9090909090909091
ajay kumar,All-Rounder,3,1,3,8,0,0,0,5,0,0.8888888888888888,0.8333333333333334
ajay kumar,All-Rounder,4,9,4,7,0,0,0,7,0,0.875,0.875
